Method,Components,Variance Retained,Execution Time (s),Avg Accuracy,Avg F1 Score
Original,56,1.0,0.0,0.9709429824561403,0.970941559031423
PCA,13,0.9507995386684862,0.38870716094970703,0.9714912280701754,0.971427490291775
Autoencoder,13,0.8868942446432948,8.708016872406006,0.9665570175438597,0.9664865472612808
